lat,lon,anomaly
-77.27748691099475,321.875,2.12395
-77.27748691099475,326.875,2.0634613
-77.27748691099475,331.875,2.1636333
-77.27748691099475,336.875,2.1753874
-77.27748691099475,341.875,2.1000452
-77.27748691099475,346.875,2.0433264
-77.27748691099475,351.875,2.0609875
-77.27748691099475,356.875,2.1362906
-73.50785340314135,1.875,2.064293
-73.50785340314135,6.875,2.0498314
-73.50785340314135,11.875,2.0263596
-73.50785340314135,16.875,1.9715052
-73.50785340314135,21.875,1.8903837
-73.50785340314135,26.875,1.8138742
-73.50785340314135,31.875,1.7176237
-73.50785340314135,36.875,1.6823244
-73.50785340314135,41.875,1.6644888
-73.50785340314135,46.875,1.6571198
-73.50785340314135,51.875,1.6784763
-73.50785340314135,56.875,1.6335697
-73.50785340314135,61.875,1.5900736
-73.50785340314135,66.875,1.5678644
-73.50785340314135,71.875,1.3832436
-73.50785340314135,76.875,1.3812227
-73.50785340314135,81.875,1.4592915
-73.50785340314135,86.875,1.4713163
-73.50785340314135,91.875,1.459794
-73.50785340314135,96.875,1.4921961
-73.50785340314135,101.875,1.592761
-73.50785340314135,106.875,1.7275906
-73.50785340314135,111.875,1.7689896
-73.50785340314135,116.875,1.7315025
-73.50785340314135,121.875,1.6830416
-73.50785340314135,126.875,1.6783171
-73.50785340314135,131.875,1.7536554
-73.50785340314135,136.875,1.8414068
-73.50785340314135,141.875,1.9104795
-73.50785340314135,146.875,1.8854742
-73.50785340314135,151.875,1.8093901
-73.50785340314135,156.875,1.7061872
-73.50785340314135,161.875,1.6940498
-73.50785340314135,166.875,1.7240963
-73.50785340314135,171.875,1.5186062
-73.50785340314135,176.875,1.426712
-73.50785340314135,181.875,1.4563618
-73.50785340314135,186.875,1.4989243
-73.50785340314135,191.875,1.5548134
-73.50785340314135,196.875,1.6278114
-73.50785340314135,201.875,1.6759586
-73.50785340314135,206.875,1.7104225
-73.50785340314135,211.875,1.7873135
-73.50785340314135,216.875,1.8058853
-73.50785340314135,221.875,1.7811985
-73.50785340314135,226.875,1.7460022
